date,base_currency,currency,exchange_rate,error_reason
2026-03-27,USD,AUD,1.45,Date is not in the correct range.
2026-03-27,USD,BRL,5.2561,Date is not in the correct range.
2026-03-27,USD,CAD,1.387,Date is not in the correct range.
2026-03-27,USD,CHF,0.79691,Date is not in the correct range.
2026-03-27,USD,CNY,6.9138,Date is not in the correct range.
2026-03-27,USD,CZK,21.309,Date is not in the correct range.
2026-03-27,USD,DKK,6.4879,Date is not in the correct range.
2026-03-27,USD,EUR,0.86828,Date is not in the correct range.
2026-03-27,USD,GBP,0.75297,Date is not in the correct range.
2026-03-27,USD,HKD,7.8339,Date is not in the correct range.
2026-03-27,USD,HUF,338.4,Date is not in the correct range.
2026-03-27,USD,IDR,16983.0,Date is not in the correct range.
2026-03-27,USD,ILS,3.1544,Date is not in the correct range.
2026-03-27,USD,INR,94.81,Date is not in the correct range.
2026-03-27,USD,ISK,124.69,Date is not in the correct range.
2026-03-27,USD,JPY,159.9,Date is not in the correct range.
2026-03-27,USD,KRW,1511.5,Date is not in the correct range.
2026-03-27,USD,MXN,18.0577,Date is not in the correct range.
2026-03-27,USD,MYR,4.013,Date is not in the correct range.
2026-03-27,USD,NOK,9.7148,Date is not in the correct range.
2026-03-27,USD,NZD,1.7382,Date is not in the correct range.
2026-03-27,USD,PHP,60.564,Date is not in the correct range.
2026-03-27,USD,PLN,3.7228,Date is not in the correct range.
2026-03-27,USD,RON,4.4273,Date is not in the correct range.
2026-03-27,USD,SEK,9.4452,Date is not in the correct range.
2026-03-27,USD,SGD,1.2877,Date is not in the correct range.
2026-03-27,USD,THB,32.95,Date is not in the correct range.
2026-03-27,USD,TRY,44.456,Date is not in the correct range.
2026-03-27,USD,ZAR,17.1906,Date is not in the correct range.
